,NOM_ENT,DISTRITO,VPH_CEL,VPH_EXCSA,PSINDER,HOGJEF_F,P15YM_ANSEIN,CIRCUNSCRIPCIONES
148,México,3,81.0309958,84.21521547,33.17866608,30.40867419,21.83655103,5
149,México,30,88.90641523,98.68787452,40.57807903,34.35847726,11.90058736,5
150,México,31,88.13933483,99.6445117,36.88252858,36.73448237,11.29661565,5
151,México,32,88.15819729,99.05629647,42.91186565,32.32735495,14.6594013,5
152,México,33,88.81783136,97.40078531,38.98168928,31.01258464,11.15712329,5
153,México,34,91.55062564,99.32714637,30.12071305,33.05404095,7.408409578,5
154,México,35,81.55996393,93.17797565,31.91520905,29.79598738,23.2790545,5
155,México,36,79.71907882,88.9170141,22.10457228,29.36370856,33.09721092,5
156,México,37,90.81765059,98.262634,31.18881314,30.05773803,9.481804101,5
157,México,38,89.83651909,97.72092203,34.69275583,31.86067453,10.26723233,5
158,México,39,87.76072748,98.15383158,40.3145312,33.73212087,12.90000397,5
159,México,4,89.63363863,97.80455063,32.82507173,32.21125253,12.20602992,5
160,México,40,81.93181516,90.30721326,38.26017508,25.75162123,19.47322541,5
161,México,41,93.8442096,99.55737895,32.78021003,31.51889229,5.920454518,5
162,México,5,88.81491227,97.53506729,33.45357133,29.76941812,12.2253426,5
163,México,6,92.28733067,99.6323593,29.58229291,34.28746907,6.135206548,5
164,México,7,93.10474252,99.1659299,27.0709771,33.31692995,5.919478956,5
165,México,8,90.61547527,99.33250701,30.8446578,31.99902467,9.250924984,5
166,México,9,74.01212607,54.59337576,29.12041953,27.20248534,38.69615319,5
167,Michoacán de Ocampo,1,90.25493982,95.53123842,26.89816931,31.67534671,29.74871348,5
168,Michoacán de Ocampo,10,93.81063983,98.70197981,31.53737253,37.2492461,11.31015028,5
169,Michoacán de Ocampo,11,85.48323051,83.83678925,39.07237035,28.02630432,32.08526749,5
170,Michoacán de Ocampo,12,86.57700011,94.97182353,44.08219019,29.90130452,37.37331535,5
171,Michoacán de Ocampo,2,86.79085816,95.37592904,37.63458514,29.96540878,32.52142942,5
172,Michoacán de Ocampo,3,82.10344437,86.72645555,40.13346096,29.4360852,33.63611849,5
173,Michoacán de Ocampo,4,84.26418561,95.63722682,41.93940635,33.52887143,33.35637188,5
174,Michoacán de Ocampo,5,86.60347998,98.74009761,36.51711585,33.5240133,27.59544699,5
175,Michoacán de Ocampo,6,84.13537966,89.45596923,44.37260759,31.34751634,32.36982253,5
176,Michoacán de Ocampo,7,81.65460225,83.03873707,38.24352533,28.21296972,33.3597265,5
177,Michoacán de Ocampo,8,93.53032862,97.08342514,32.91424352,35.19148693,14.08024247,5
178,Michoacán de Ocampo,9,92.25738531,95.39973202,38.29550487,34.31697824,19.81729743,5
179,Morelos,1,92.45102514,99.31277208,28.72609569,38.48564106,9.686437854,4
180,Morelos,2,91.55471771,98.80284358,28.64834456,36.08382738,14.50026265,4
181,Morelos,3,88.46805951,96.69747685,28.25911691,34.49555167,21.20033493,4
182,Morelos,4,85.89420201,97.51630572,24.67600192,34.70956002,20.39403026,4
183,Morelos,5,87.21401525,92.29996622,29.64112626,30.48459638,18.14160893,4
184,Nayarit,1,78.97746057,89.57721553,17.93314176,29.82439081,30.35353693,1
185,Nayarit,2,93.12943962,98.67245462,21.28485613,36.28887135,10.45553708,1
186,Nayarit,3,90.70433013,97.43031094,26.1827502,32.03419167,18.50952939,1
187,Nuevo León,1,92.26340172,98.01207809,16.14823248,27.34530113,7.557702788,2
188,Nuevo León,10,90.11084474,98.00111931,18.03084523,33.33194116,7.396849259,2
189,Nuevo León,11,91.43066848,99.70545902,19.3400445,30.33676806,8.441437175,2
190,Nuevo León,12,94.75565802,99.36573716,21.73055055,24.9551298,7.280630318,2
191,Nuevo León,2,96.10392945,99.83953581,15.68548307,24.1858047,4.248729736,2
